eq,vars,test_r2,train_loss,wall_s,expression
I.6.2,2,0.999932,0.00161276,183.0,14.501*tanh(-0.094*tanh(0.456*x0+0.605*x1-0.307)-0.436*tanh(-0.471*x0-0.070*x1+1.553)+0.516*tanh(-0.035*x0+0.955*x1-0.54
I.6.2b,2,0.999899,3.24625e-05,30.0,2.834*tanh(0.379*tanh(-0.192*tanh(-0.194*tanh(0.231*x0-0.711*x1+0.072)-0.689*tanh(0.353*x0-1.763*x1-0.327)-0.001*tanh(-0
I.7.9,2,0.999932,1.32019e-05,46.2,1.184*((tanh(0.228*tanh(-0.129*tanh(-0.712*x0+0.087*x1+0.173)-0.149*tanh(-0.272*x0+0.547*x1-0.173)-0.133*tanh(-0.381*x0+
I.8.4,2,0.999995,0.000745219,409.0,33.362*tanh(0.827*tanh(-0.132*x0+0.364*x1+0.221)+0.384*tanh(0.584*x0+0.276*x1-1.178)-1.501*tanh(0.000*tanh(0.001*tanh(0.
I.9.5,3,0.999888,0.000888503,6.5,11.615*tanh(0.351*tanh(0.362*x0-0.030*x1-0.433*x2+0.011)-0.957*tanh(-0.389*x0-0.442*x1+3.608*x2+0.758)+0.701*tanh(0.274*
I.10.7,2,0.999262,0.00207203,28.7,8.211*tanh(-1.016*tanh(-0.959*x0-0.367*x1+0.755)+2.729*((tanh(0.037*x0+1.674*x1-2.355)+tanh(0.1290))+tanh(0.183*(x1*x1)-
I.12.5,3,0.999830,0.000799853,44.0,11.802*tanh(0.274*tanh(0.167*x0+0.371*x1+0.604*x2-0.189)+0.728*tanh(-0.052*x0-0.578*x1+0.067*x2+0.250)+0.304*tanh(-0.202
I.13.12,2,0.999974,0.0596536,799.2,169.464*tanh(0.229*tanh(0.734*x0+0.682*x1-5.696)-0.597*tanh(-0.383*x0+0.301*x1-1.279)+1.078*tanh(-0.085*x0+0.439*x1+1.17
I.14.3,4,0.999695,0.000158906,42.1,3.287*tanh(0.251*tanh(0.115*tanh(0.266*tanh(0.021*x0+0.291*x1+0.462*x2-0.292*x3+0.143)-0.164*tanh(0.096*x0-0.265*x1+0.60
I.15.3,2,0.999719,3.64121e-05,50.1,1.136*tanh(-0.455*tanh(0.324*tanh(0.302*tanh(0.055*x0+0.275*x1-0.260)-0.116*tanh(-0.026*x0-0.136*x1+0.131)-1.030*tanh(-0
I.15.10,2,0.999865,3.48151e-06,50.2,1.050*(((tanh(-0.445*tanh(0.105*tanh(-0.189*x0-0.160*x1+0.072*(x1*x0)+0.056)-0.304*tanh(0.557*x0+0.572*x1-0.192*(x1*x0)-
I.18.4,3,0.999917,0.00056086,408.6,9.851*tanh(0.326*tanh(-0.049*tanh(-0.181*tanh(0.506*x0-0.330*x1+0.127*x2+0.360)+0.163*tanh(-0.004*x0-0.015*x1+1.186*x2-0
I.18.14,3,0.994021,2.23642,48.2,64.865*tanh(0.272*tanh(0.508*x0-0.193*x1-0.201*x2+0.942)-0.464*tanh(-0.304*x0-0.290*x1-0.286*x2+2.828)+0.500*tanh(0.345*
I.24.6,2,0.999913,0.000107585,73.8,4.013*tanh(0.666*tanh(0.847*tanh(0.157*x0+1.340*x1-0.463)+0.001*tanh(-0.001*x0+0.003*x1-0.002)+0.518*tanh(0.183*x0+0.878
I.25.9,2,0.999933,1.06574e-05,5.3,1.981*tanh(0.631*tanh(-0.001*x0+0.161*x1-0.560)-0.387*tanh(0.243*x0-0.372*x1-0.052)-0.254*tanh(0.138*x0+0.231*x1+0.047)+
I.29.16,3,0.899057,0.204983,675.6,3.948*(tanh(-1.474*tanh(-0.229*tanh(0.665*tanh(0.712*x0+1.222*x1+0.027*x2-1.492)-0.314*tanh(0.815*x0+0.005*x1-0.536*x2-0
I.32.8,3,0.949954,0.551287,9.9,59.174*tanh(0.762*tanh(-0.255*x0+0.507*x1+0.000*x2+0.000)+0.872*tanh(0.688*x0+0.215*x1-0.625*x2-0.296)+0.306*tanh(-0.157
I.34.6,1,0.999192,4.32409e-05,2.1,0.494*(tanh(-0.284*x0+0.297)+(((tanh(-0.315*x0+0.110)+tanh(tanh(-0.220*x0+0.092)))+(((tanh(tanh(-0.220*x0+0.093))+tanh(t
I.43.27,3,0.998894,3.98718e-05,6.6,2.098*tanh(-0.357*tanh(-0.346*x0+0.457*x1+0.146*x2-0.531)-0.462*tanh(-0.130*x0+1.156*x1+0.068*x2-0.323)+0.572*tanh(0.696
I.47.23,2,0.999934,6.70669e-06,61.9,0.988*(((tanh(0.1420)+tanh(-0.183*tanh(-0.176*x0+0.179*x1-0.050)-0.258*tanh(-0.466*x0-0.045*x1-0.093)-0.223*tanh(-0.026*
II.11.27,3,0.999935,0.00108984,2074.1,15.042*tanh(0.280*tanh(0.001*tanh(-0.0010)-0.371*tanh(0.094*tanh(0.157*tanh(0.178*x0+0.609*x1+0.630*x2-0.778)-0.123*tanh
II.34.29a,2,0.999973,0.0045435,28.7,41.728*tanh(-0.588*tanh(0.143*x0-0.618*x1-0.134)+0.317*tanh(0.721*x0+0.262*x1-1.178)+0.304*tanh(0.531*x0-0.436*x1+1.921)
III.4.33,2,0.999980,8.38222e-05,112.3,4.834*(tanh(-0.261*tanh(-0.481*x0+1.105*x1+0.393)-0.562*tanh(-0.380*x0+0.456*x1+0.176)-0.571*tanh(0.353*x0+0.485*x1-0.77
III.10.19,2,0.999903,0.00010888,46.9,4.944*tanh(-0.156*tanh(0.342*tanh(-0.287*x0+0.432*x1+0.854)-0.004*tanh(-0.003*x0-0.004*x1-0.003)-0.004*tanh(-0.003*x0-0.
I.48.20,3,0.999960,0.000281416,114.1,6.393*(tanh(0.458*tanh(0.475*x0+0.291*x1+0.563*x2-1.032)+0.115*tanh(0.429*tanh(0.128*x0+0.191*x1-0.595*x2+0.829)-0.067)-
