eq,vars,test_r2,train_loss,wall_s,expression
I.6.2,2,0.999975,0.000602636,223.9,17.116*tanh(-0.168*tanh(0.730*x0+0.621*x1-1.582)-0.335*tanh(-0.431*x0-0.054*x1+1.294)-0.713*tanh(-0.003*tanh(0.007*x0-0.
I.6.2b,2,0.999837,7.49583e-05,20.9,2.843*tanh(0.364*tanh(0.154*x0-0.762*x1+0.025)+0.868*tanh(0.412*x0-2.023*x1-0.366)-0.281*tanh(-0.224*x0+0.272*x1+0.045)+
I.7.9,2,0.999969,7.48365e-06,42.3,1.551*(tanh(-0.278*tanh(-0.669*x0+0.032*x1+0.096)-0.336*tanh(-0.227*x0+0.491*x1-0.106)-0.254*tanh(-0.360*x0+0.231*x1+0.0
I.8.4,2,0.999982,0.00304334,395.4,39.438*tanh(0.796*tanh(-0.158*x0+0.419*x1+0.520)+0.220*tanh(1.054*x0+0.024*x1-0.507)-2.375*tanh(-0.217*x0-0.443*x1+3.882
I.9.5,3,0.999922,0.000287557,13.7,7.061*((tanh(0.464*x0+0.482*x1-3.293*x2-1.297)+tanh(0.084*(((x1*x0)+tanh(-0.143*((x1*x0)/(x2*x2))+0.230))/(x2*x2))-0.654
I.10.7,2,0.999402,0.00163375,22.6,8.353*tanh(2.736*tanh(0.046*x0+2.182*x1-2.492)+0.621*tanh(-0.090*x0-3.476*x1+2.993)-0.000*tanh(-0.000*x0+0.001*x1+0.000)
I.12.5,3,0.999909,0.000504986,275.0,11.593*tanh(0.563*tanh(-0.179*x0-0.255*x1+0.531*x2+1.536)+0.308*tanh(-0.134*x0+0.022*x1+1.100*x2-0.427)-0.666*tanh(0.034
I.13.12,2,0.999816,0.406856,141.3,158.589*tanh(-0.000*tanh(-0.011*tanh(-0.022*tanh(0.001*x0-0.027*x1-0.002)-0.014*tanh(0.003*x0-0.053*x1-0.026)+0.006*tanh
I.14.3,4,0.999280,0.000467736,7.4,4.755*tanh(0.245*tanh(0.017*x0-0.001*x1-0.014*x2+0.165*x3-0.538)-0.274*tanh(-0.378*x0+0.143*x1+0.085*x2-0.223*x3-0.375)-
I.15.3,2,0.999508,6.36365e-05,34.7,1.052*tanh(-1.408*tanh(0.245*x0+2.243*x1-2.674)-0.017*tanh(-0.125*x0-0.017*x1+0.070)+0.688*tanh(0.103*x0-1.263*x1-0.394)
