eq,vars,test_r2,train_loss,wall_s,expression
I.6.2,2,0.999918,0.00201271,191.4,18.320*tanh(-1.998*tanh(-0.157*x0-0.172*x1+2.067)-0.095*tanh(-0.346*x0-0.138*x1+0.248)-0.172*tanh(0.143*x0-0.349*x1-0.00
I.6.2b,2,0.999901,4.16161e-05,10.9,3.018*tanh(-0.403*tanh(-0.803*x0+0.076*x1+0.157)+0.000*tanh(-0.000*x0+0.000*x1+0.000)-0.241*tanh(-0.201*x0+0.561*x1+0.06
I.7.9,2,0.999947,1.33128e-05,13.9,1.737*tanh(-0.321*tanh(-0.301*x0+0.169*x1+0.102)+0.001*tanh(-0.001*x0-0.003*x1+0.002)-0.001*tanh(-0.002*x0-0.001*x1+0.00
I.8.4,2,0.999691,0.0527649,30.6,41.444*tanh(0.208*tanh(-0.510*x0+0.949*x1+0.926)-0.267*tanh(-0.681*x0+0.208*x1-0.420)+0.132*tanh(0.214*x0+0.425*x1-0.002
I.9.5,3,0.999999,7.29392e-06,11.2,8.621*(tanh(-0.754*x0-0.711*x1-0.781*x2-0.573)+(0.116*((x0*x1)/(x2*x2))-0.093))+9.424
