eq,vars,test_r2,train_loss,wall_s,expression
I.6.2,2,0.999960,0.0010144,810.3,20.316*tanh(-0.081*tanh(0.238*x0+0.155*x1+0.025)-0.166*(tanh(0.001*tanh(-0.003*x0+0.000*x1+0.007)+0.001*tanh(0.001*x0-0.
I.6.2b,2,0.999901,3.22354e-05,664.0,2.829*tanh(-0.483*tanh(-0.791*x0+0.112*x1+0.094)-0.174*tanh(-0.231*x0+0.299*x1+0.084)+0.139*tanh(0.201*x0-0.277*x1-0.025
I.7.9,2,0.999949,8.89404e-06,286.5,1.731*(tanh(0.264*tanh(0.107*x0-0.334*x1+0.048)-0.327*tanh(-0.775*x0+0.042*x1+0.097)-0.279*tanh(-0.137*x0+0.826*x1+0.198
I.8.4,2,0.999880,0.0213119,266.8,39.311*tanh(0.661*tanh(-0.124*x0+0.530*x1+0.075)+0.122*tanh(1.590*x0-0.120*x1-0.544)-2.373*tanh(-0.153*x0-0.335*x1+2.868
I.9.5,3,0.999387,0.00280638,341.1,9.419*tanh(-0.000*tanh(-0.014*0+0.000*x1-0.000*x2-0.012)-1.249*tanh(-0.403*x0-0.435*x1+3.293*x2+0.539)-0.623*tanh(-0.112
I.10.7,2,0.999524,0.000910754,337.5,8.086*tanh(-0.636*tanh(0.082*x0+3.779*x1-2.983)-2.792*tanh(-0.042*x0-1.766*x1+1.921)-0.284*tanh(-0.779*x0-0.289*x1+0.910
I.12.5,3,,,25.8,
