eq,vars,test_r2,train_loss,wall_s,expression
I.6.2,2,0.999548,0.00844169,28.8,22.263*tanh(-0.948*tanh(-0.210*x0+0.222*x1-0.825)-0.000*tanh(0.000*x0-0.000*x1-0.000)-1.776*tanh(-0.026*x0-0.111*x1+0.65
I.6.2b,2,0.999774,2.21036e-05,7.1,2.854*tanh(0.800*tanh(0.336*x0-1.672*x1-0.219)-0.072*tanh(-0.125*x0+0.158*x1+0.045)-0.481*tanh(-0.746*x0+0.085*x1+0.094)
I.7.9,2,0.999953,1.05702e-05,12.1,1.761*tanh(0.132*tanh(0.116*x0-0.337*x1-0.030)-0.457*tanh(-0.718*x0+0.050*x1-0.042)-0.201*tanh(-0.152*x0+0.437*x1+0.034)
I.8.4,2,0.999742,0.0563341,9.9,45.489*tanh(-0.923*tanh(-0.314*x0+0.223*x1-0.811)+2.570*tanh(0.073*x0+0.209*x1-1.613)-0.344*tanh(-0.064*x0-0.513*x1+0.75
I.9.5,3,1.000000,3.00403e-06,11.0,8.806*(tanh(-0.747*x0-0.724*x1-0.779*x2-0.576)+(0.114*((x0*x1)/(x2*x2))-0.113))+9.803
I.10.7,2,0.999124,0.00282588,9.8,8.053*tanh(0.257*tanh(0.404*x0+2.561*x1-1.444)+0.212*tanh(0.003*x0+4.382*x1-1.605)+0.405*tanh(1.493*x0+1.221*x1-1.761)+0
I.12.5,3,0.999612,0.00300986,16.5,12.397*tanh(-0.125*tanh(-0.051*x0-0.046*x1-0.510*x2+0.399)-0.123*tanh(-0.050*x0-0.043*x1-0.624*x2+0.323)-0.784*tanh(0.00
I.13.12,2,0.995714,15.3089,10.1,130.819*tanh(-0.205*tanh(0.575*x0-0.565*x1-1.047)+3.170*tanh(0.354*x0+0.311*x1-3.594)+0.634*tanh(0.638*x0-0.066*x1-0.374
I.14.3,4,0.999590,0.000216215,54.3,4.342*tanh(-0.242*tanh(0.233*tanh(0.171*x0-0.197*x1-0.154*x2-0.075*x3+0.750)-0.439*tanh(-0.063*x0+0.032*x1-0.145*x2+0.28
I.15.3,2,0.998209,0.000236154,9.3,1.108*tanh(-0.010*tanh(0.020*x0+0.029*x1-0.024)-0.121*tanh(0.380*x0+0.320*x1-0.246)+0.003*tanh(-0.006*x0-0.005*x1+0.004)
I.15.10,2,0.999802,5.29028e-06,15.3,1.268*tanh(0.321*tanh(0.173*x0+0.174*x1-0.229*(x0*x1)-0.065)-0.646*tanh(-0.299*x0-0.300*x1+0.477*(x0*x1)+0.162)-0.191*ta
I.18.4,3,0.999632,0.00357495,14.5,11.669*tanh(0.115*tanh(0.382*x0-0.128*x1-0.599*x2+0.363)+0.571*tanh(0.094*x0+0.244*x1-0.226*x2-0.814)+0.769*tanh(0.014*x
I.18.14,3,0.977933,8.61444,12.0,58.383*(tanh(0.289*x0+0.246*x1+0.285*x2-3.284)+(-0.013*((x0*x2)/(x1*x1))+0.212))+50.518
I.24.6,2,0.999909,0.00011012,208.9,3.845*tanh(-0.001*tanh(0.002*x0+0.000*x1-0.004)-1.107*tanh(-0.810*tanh(0.035*x0+0.211*x1-0.882*(x1*x1)+0.224)-0.439*tanh
I.25.9,2,0.999863,2.2273e-05,9.5,2.083*tanh(-0.481*tanh(0.021*x0-0.562*x1+0.074)-0.231*tanh(0.269*x0+0.056*x1+0.108)-0.111*tanh(0.231*x0+0.066*x1+0.035)+
I.29.16,3,0.813530,0.317897,13.6,2.787*(tanh(-4.746*tanh(-0.003*x0+0.555*x1+0.670*x2-2.411)-2.819*tanh(-0.015*x0+0.352*x1-0.614*x2+1.491)+1.801*tanh(-0.2
I.32.8,3,1.000000,6.87517e-06,15.8,38.401*(tanh(0.024*x0+0.010*x1-2.058*x2-2.234)+(0.026*(((x0*x1)*(x0*x1))/((x2*x2)*x2))-0.183))+45.429
I.34.6,1,0.999053,4.98233e-05,1.8,0.816*((tanh(-0.502*x0+0.290)+tanh(-0.176*x0+0.030))+tanh(-0.335*x0+0.121))+0.629
I.43.27,3,0.999137,3.06372e-05,10.0,2.212*tanh(0.430*tanh(0.224*x0-0.311*x1-0.276*x2+0.675)+0.412*tanh(-0.005*x0-0.574*x1+0.052*x2+0.414)-0.441*tanh(-0.622*
I.47.23,2,0.999868,9.90701e-06,7.4,1.364*tanh(0.267*tanh(0.142*x0-0.384*x1+0.020)-0.268*tanh(-0.232*x0+0.087*x1+0.017)+0.545*tanh(0.222*x0-1.180*x1-0.138)+
II.11.27,3,0.999089,0.0176535,31.1,19.823*tanh(-0.340*tanh(-0.035*x0-0.165*x1+1.518*x2-1.490)-0.424*tanh(-0.345*x0+0.191*x1-0.636*x2-0.202)+1.567*tanh(0.00
II.34.29a,2,0.999808,0.0259712,21.0,41.543*tanh(-0.178*tanh(0.335*x0-0.513*x1+0.586)-1.953*tanh(-0.084*tanh(0.234*x0-0.100*x1-0.032)+0.031*tanh(0.639*x0+0.7
III.4.33,2,0.999941,0.000205966,6.2,7.983*tanh(0.823*tanh(0.586*x0-1.712*x1-1.550)+0.250*tanh(0.667*x0+0.306*x1-0.611)-0.613*tanh(-0.274*x0+0.080*x1+0.529)-
III.10.19,2,0.999574,0.000639913,5.8,6.714*tanh(0.002*tanh(0.047*x0-0.020*x1-0.080)-0.003*tanh(-0.043*x0+0.007*x1+0.112)-0.583*tanh(0.095*x0-0.261*x1+0.768)-
I.48.20,3,0.999880,0.0008029,7.2,11.459*tanh(-0.201*tanh(-1.193*x0+0.229*x1-0.194*x2+0.587)-0.078*tanh(1.426*x0+0.345*x1-0.302*x2-1.050)-0.258*tanh(-0.46
